포착일,회사명,최신_회사명,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
2024-09-13,흥구석유,흥구석유,0.7978723404255319,9.168865435356201,4.108761329305136,0.05803830528148578,9.51276102088167,-7.36228813559322,-3.0874785591766725,3.1268436578171093,7.1510297482837535,16.390816871329417,-3.4403669724770642,2.6128266033254155,-6.25,-0.49382716049382713,-1.488833746898263,-10.327455919395465,-4.831460674157303,0.5903187721369539,0.35211267605633806,1.8713450292397662,4.822043628013777,-3.7787513691128147,0.5691519635742743,-3.7917374080362194,-3.4705882352941178,-1.8890920170627667,0.6211180124223602,0.24691358024691357,4.864532019704434,0.7046388725778039,-0.23323615160349853,-2.6300409117475163,-1.0204081632653061,-0.06064281382656155,-5.703883495145631,-0.2574002574002574,-3.741935483870968,-0.5361930294906166,2.0215633423180592,6.274768824306473,0.3729024238657551,-1.1764705882352942,-3.9473684210526314
2024-09-19,삼일제약,삼일제약,6.330935251798561,7.7807848443843035,-0.18832391713747645,1.3207547169811322,-1.9242706393544382,3.4177215189873418,-2.0195838433292534,-3.560274828232355,2.33160621761658,2.278481012658228,5.569306930693069,-7.0926143024619,4.9842271293375395,0.2403846153846154,6.115107913669065,-2.937853107344633,1.0477299185098952,1.555299539170507,-1.588201928530913,0.1729106628242075,-2.761795166858458,-4.556213017751479,-2.7898326100433977,1.3392857142857142,-0.5034612964128383,-1.7710309930423784,3.0264005151320026,-4.25,6.070496083550914,-3.6923076923076925,-1.853035143769968,-1.953125,0.2656042496679947,-0.9271523178807948,-4.478609625668449,-5.248425472358292,-1.4771048744460855,0.8245877061469266,-4.089219330855019,3.3333333333333335,2.4006001500375094,-5.4945054945054945,
2024-09-20,교보증권,교보증권,0.37174721189591076,-0.5555555555555556,0.186219739292365,0.5576208178438662,1.6635859519408502,-0.36363636363636365,-0.9124087591240875,-0.1841620626151013,1.107011070110701,-1.2773722627737227,0.9242144177449169,-0.18315018315018314,1.4678899082568808,1.0849909584086799,1.073345259391771,0.0,0.5309734513274336,0.17605633802816903,0.5272407732864675,0.0,-2.797202797202797,-0.539568345323741,-2.3508137432188065,0.5555555555555556,-1.4732965009208103,0.0,0.0,1.3084112149532712,0.36900369003690037,-0.1838235294117647,-1.1049723756906076,0.37243947858473,-1.4842300556586272,-2.2598870056497176,-1.5414258188824663,0.5870841487279843,2.3346303501945527,0.9505703422053232,0.18832391713747645,0.0,1.8796992481203008,,
2024-09-23,HK이노엔,HK이노엔,3.2719836400818,-4.455445544554455,2.4870466321243523,-1.6177957532861478,0.41109969167523125,-0.1023541453428864,3.483606557377049,-0.19801980198019803,-0.992063492063492,-1.7034068136272544,-1.9367991845056065,0.7276507276507277,-0.6191950464396285,1.6614745586708204,-1.1235955056179776,0.10330578512396695,1.3415892672858616,-3.6659877800407332,-1.0570824524312896,-0.4273504273504274,-0.3218884120171674,-0.4305705059203444,-0.21621621621621623,2.4918743228602382,4.862579281183932,-5.141129032258065,2.3379383634431457,0.4153686396677051,1.2409513960703205,-2.8600612870275794,0.2103049421661409,-7.0304302203567675,-2.3702031602708806,-4.161849710982659,-1.5681544028950543,3.431372549019608,-0.9478672985781991,1.555023923444976,-2.0023557126030624,-2.7644230769230766,,,
2024-09-24,성우전자,성우전자,4.2431192660550465,0.0,-1.65016501650165,5.1454138702460845,-1.702127659574468,6.277056277056277,3.054989816700611,-2.66798418972332,-4.568527918781726,0.9574468085106382,0.21074815595363539,0.2103049421661409,-1.5739769150052465,1.279317697228145,-0.631578947368421,-0.847457627118644,0.641025641025641,2.0169851380042463,-1.040582726326743,-3.995793901156677,-2.5191675794085433,0.0,-0.22471910112359553,0.22522522522522523,0.8988764044943821,1.1135857461024499,-1.1013215859030838,0.0,-1.0022271714922049,1.687289088863892,3.4292035398230087,-2.3529411764705883,-5.147864184008762,-0.4618937644341801,0.8120649651972157,-0.11507479861910241,3.571428571428571,-4.338153503893214,0.0,,,,
2024-09-25,리파인,리파인,-0.8540925266903915,0.2871500358937545,0.4294917680744453,3.3499643620812543,0.0,4.689655172413794,-1.7786561264822136,-0.6036217303822937,-0.06747638326585695,-4.794058068872384,-4.397163120567376,-3.1899109792284865,2.835249042145594,0.819672131147541,7.612712490761271,-4.532967032967033,1.7985611510791366,-3.3215547703180213,-1.2426900584795322,0.7401924500370096,-0.440852314474651,-0.36900369003690037,1.4814814814814816,-1.3868613138686132,1.0362694300518136,-3.0036630036630036,0.0755287009063444,-0.07547169811320754,2.3413897280966767,1.107011070110701,0.0,2.2627737226277373,-0.21413276231263384,-2.074391988555079,-0.6574141709276844,3.6764705882352944,0.9219858156028369,3.302881236823612,,,,,
2024-09-26,PN풍년,PN풍년,1.0582010582010581,-1.2216404886561953,-7.950530035335689,1.1516314779270633,4.174573055028463,1.2750455373406193,1.7985611510791366,0.35335689045936397,-1.056338028169014,-1.0676156583629894,1.079136690647482,-0.5338078291814947,0.8944543828264758,6.914893617021277,-2.321724709784411,3.5653650254668934,-1.8032786885245904,3.8397328881469113,7.395498392282958,-1.9461077844311379,3.3587786259541987,-6.3515509601181686,-0.31545741324921134,-4.272151898734177,7.2727272727272725,2.465331278890601,-1.2030075187969926,-0.60882800608828,-6.584992343032159,-7.704918032786885,3.019538188277087,-2.0689655172413794,29.929577464788732,3.7940379403794036,1.8276762402088773,3.8461538461538463,3.950617283950617,,,,,,
2024-09-27,신세계건설,신세계건설,13.146417445482866,-0.05506607929515419,0.11019283746556473,0.0,0.0550357732526142,-0.055005500550055,0.0,0.0550357732526142,0.0,0.0,0.0,0.055005500550055,-0.054975261132490384,0.055005500550055,0.054975261132490384,0.0,0.054945054945054944,-0.6040637012630422,0.0,0.05524861878453039,0.05521811154058532,0.0,-0.05518763796909492,0.0,0.0,-0.05521811154058532,0.0,0.0,-0.11049723756906078,-0.05530973451327434,-0.16602102933038185,0.0,0.0,0.0,0.0,0.0,,,,,,,
2024-09-30,삼목에스폼,삼목에스폼,0.5415162454873645,2.872531418312388,-7.504363001745201,-3.018867924528302,-0.7782101167315175,-1.9607843137254901,-2.0,2.4489795918367347,0.5976095617529881,0.19801980198019803,-3.557312252964427,-3.278688524590164,-2.9661016949152543,3.2751091703056767,-5.2854122621564485,-1.3392857142857142,-2.0361990950226243,0.9237875288683602,-1.1441647597254003,0.0,-3.2407407407407405,5.263157894736842,0.6818181818181818,0.2257336343115124,-2.7027027027027026,0.6944444444444444,-2.0689655172413794,-1.1737089201877933,-3.800475059382423,-0.49382716049382713,2.481389578163772,0.48426150121065376,-4.481927710843373,3.1786074672048437,-1.7114914425427872,,,,,,,,
2024-09-30,미창석유,미창석유,0.10810810810810811,7.127429805615551,1.0080645161290323,-0.8982035928143712,-1.6112789526686808,-2.7635619242579326,0.42105263157894735,2.6205450733752618,-0.20429009193054137,0.8188331627430911,-1.5228426395939088,-0.10309278350515465,-4.3343653250774,1.9417475728155338,0.10582010582010583,0.42283298097251587,3.3684210526315788,-2.240325865580448,0.9375,0.41279669762641896,-2.877697841726619,-0.4232804232804233,-0.5313496280552604,0.10683760683760685,2.0277481323372464,0.9414225941422595,-0.41450777202072536,-2.3933402705515086,-4.157782515991471,1.1123470522803114,0.0,-0.44004400440044,-0.22099447513812157,-0.8859357696566998,0.5586592178770949,,,,,,,,
