검토_일자,신청자,검토_종목,사연,익절_수익률,손절_손실률,목표_기간,후원,코드
2024-09-25,상가즈아,우리바이오,매집 완료형으로 추정되요.,5,5,20,구독,082850
2024-09-25,ㅇㅇ,유한양행,채권도 볼께요,5,5,20,감사해요,000100
2024-09-25,종수,바이넥스,봐주세요,5,5,20,구독,053030
2024-09-25,근육돌이,GS글로벌,gs글로벌 어떨까요?,5,5,20,구독,001250
2024-09-25,송영준,삼성바이오로직스,궁금합니다.,5,5,20,구독,207940
2024-09-25,남성이진욱,신성델타테크,언제쯤 상승하나요?,5,5,20,구독,065350
2024-09-25,타잔,슈어소프트테크,"평단 4,900 입니다.",5,5,20,구독,298830
2024-09-25,Pro 한량,블루콤,블루콤 세력 매집원가도 좀 알려주셈,5,5,20,구독,033560
2024-09-26,리세븐,메리츠금융지주,한국에서 살만한 주식은 이것뿐. 장기투자,5,5,20,구독,138040
2024-09-28,TRAVEL BOY,세경하이테크,코스닥은 계속 내려가는데 여기는 호재 없이 오르는듯...,5,5,20,구독,148150
2024-09-28,with테슬라,루닛,한국 주식은 루닛이랑 하이브만...,5,5,20,"좋아요, 구독, 둘다 했어요 ㅎ",328130
2024-09-28,with테슬라,하이브,한국 주식은 루닛이랑 하이브만...,5,5,20,"좋아요, 구독, 둘다 했어요 ㅎ",352820
2024-09-28,근육돌이,현대글로비스,외국인들이 미친듯이 매입하고 있어요,5,5,20,좋아요 눌렀어요.,086280
2024-09-28,ty kang,현대ADM,임상승인이 곧 나온다고 해서 샀어요,5,5,20,구독 예전에 눌렀어요,187660
2024-09-29,배츄,블루엠텍,양봉에서 매수했는데 자리가 좋은것 같아요,5,5,20,구독~!,439580
2024-09-29,박종천,HD현대에너지솔루션,오를것 같아서...,5,5,20,구독~!,322000
2024-09-29,근육돌이,래몽래인,공부차원에서,5,5,20,구독~! 좋아요 눌렀습니다.,200350
2024-09-29,심심이,이렘,이렘 주가 봐주세요.,5,5,20,차트벅스: 구독 부탁드립니다.,009730
2024-09-29,심심이,KTcs,KTcs cs는 소문자요.,5,5,20,차트벅스: 구독 부탁드립니다.,058850
2024-09-29,심심이,원준,원준은 어떤가요?,5,5,20,...,382840
2024-09-29,아몬드,원준,"최근 진입 후 3퍼 수익 중, 더 올라갈까? 해서요.",5,5,20,"구독, 지금 눌렀습니등.",382840
2024-09-29,성현,엑스게이트,"투자는 했는데, 윗꼬리가 많아서 매미가 어려웠다.",5,5,20,"차벅: 구독, 좋아요 부탁요.",356680
2024-09-29,파이낸스박fan,제닉,바닥에서 10배 올랐다...,5,5,20,"차벅: 구독, 좋아요 부탁요.",123330
2024-10-01,MS디자인,NAVER,네이버,5,5,20,"차벅: 구독, 좋아요 부탁드려요.",035420
2024-10-01,사또,삼성제약,삼성제약이요,5,5,20,"차벅: 구독, 좋아요 부탁드려요.",001360
2024-10-01,쓰까무거,에너토크,원전테마주로 계속 가져가는게 맞는지?,5,5,20,"차벅: 구독, 좋아요 부탁드려요.",019990
2024-10-01,삐숑,신성델타테크,물려있어요,5,5,20,"차벅: 구독, 좋아요 부탁드려요.",065350
2024-10-01,rroro,한빛레이저,물려있어요,5,5,20,차트벅스: 편하게 요청해주세요.,452190
2024-10-01,지워니,한국가스공사,물려있진 않아요..,5,5,20,차트벅스: 편하게 요청해주세요.,036460
2024-10-01,무지개주말농장,팸텍,상승 가능성이 있나요?,5,5,20,차트벅스: 편하게 요청해주세요.,271830
