회사명,항목,외인순매,기관순매,개인순매,개반순매,법인순매,외기개반,종가
삼성전자,골크_일단,0,10,10,0,10,3,10
삼성전자,골크_일중,0,0,10,0,10,0,10
삼성전자,골크_일장,0,10,10,0,10,3,10
삼성전자,골크_단중,0,0,10,0,10,0,10
삼성전자,골크_단장,0,0,10,0,10,0,10
삼성전자,골크_중장,0,10,10,0,10,3,10
삼성전자,우상향_5,0,10,10,0,10,3,10
삼성전자,우상향_20,0,0,10,0,10,0,10
삼성전자,우상향_60,0,20,20,0,20,6,20
삼성전자,합계,0,60,100,0,100,20,100
SK하이닉스,골크_일단,10,0,0,10,10,6,10
SK하이닉스,골크_일중,10,0,0,10,10,6,10
SK하이닉스,골크_일장,10,0,0,10,10,6,10
SK하이닉스,골크_단중,10,0,0,10,10,6,10
SK하이닉스,골크_단장,10,0,0,10,0,6,10
SK하이닉스,골크_중장,10,10,0,10,0,10,10
SK하이닉스,우상향_5,10,0,0,10,10,6,10
SK하이닉스,우상향_20,10,0,0,10,10,6,10
SK하이닉스,우상향_60,20,0,0,20,0,13,20
SK하이닉스,합계,100,10,0,100,60,70,100
LG에너지솔루션,골크_일단,0,0,10,0,10,0,10
LG에너지솔루션,골크_일중,0,10,0,10,0,6,10
LG에너지솔루션,골크_일장,0,0,10,0,0,0,10
LG에너지솔루션,골크_단중,0,10,0,10,0,6,10
LG에너지솔루션,골크_단장,0,10,10,0,0,3,10
LG에너지솔루션,골크_중장,10,0,10,0,0,3,10
LG에너지솔루션,우상향_5,10,10,0,10,0,10,10
LG에너지솔루션,우상향_20,0,10,0,10,0,6,10
LG에너지솔루션,우상향_60,20,20,0,20,0,20,20
LG에너지솔루션,합계,40,70,40,60,10,56,100
삼성바이오로직스,골크_일단,10,10,0,10,0,10,10
삼성바이오로직스,골크_일중,10,10,0,10,0,10,10
삼성바이오로직스,골크_일장,10,10,0,10,0,10,10
삼성바이오로직스,골크_단중,10,10,0,10,0,10,10
삼성바이오로직스,골크_단장,10,10,0,10,0,10,10
삼성바이오로직스,골크_중장,10,10,0,10,0,10,10
삼성바이오로직스,우상향_5,10,10,0,10,0,10,10
삼성바이오로직스,우상향_20,10,10,0,10,0,10,10
삼성바이오로직스,우상향_60,20,20,0,20,0,20,20
삼성바이오로직스,합계,100,100,0,100,0,100,100
현대차,골크_일단,0,10,10,0,10,3,10
현대차,골크_일중,0,0,10,0,10,0,10
현대차,골크_일장,0,0,10,0,10,0,10
현대차,골크_단중,0,0,10,0,10,0,10
현대차,골크_단장,0,0,10,0,10,0,10
현대차,골크_중장,0,10,10,0,10,3,10
현대차,우상향_5,0,10,10,0,10,3,10
현대차,우상향_20,0,0,10,0,10,0,10
현대차,우상향_60,0,20,20,0,20,6,20
현대차,합계,0,50,100,0,100,16,100
기아,골크_일단,0,0,10,0,10,0,10
기아,골크_일중,10,0,10,0,10,3,10
기아,골크_일장,10,10,0,10,0,10,10
기아,골크_단중,10,0,0,10,10,6,10
기아,골크_단장,10,10,0,10,0,10,10
기아,골크_중장,10,10,0,10,0,10,10
기아,우상향_5,0,10,10,0,10,3,10
기아,우상향_20,10,0,0,10,0,6,10
기아,우상향_60,20,20,0,20,20,20,20
기아,합계,80,60,30,70,60,70,100
셀트리온,골크_일단,10,0,0,10,10,6,10
셀트리온,골크_일중,0,0,10,0,10,0,10
셀트리온,골크_일장,0,0,10,0,10,0,10
셀트리온,골크_단중,0,0,10,0,10,0,10
셀트리온,골크_단장,0,0,10,0,10,0,10
셀트리온,골크_중장,0,10,0,10,10,6,10
셀트리온,우상향_5,10,0,10,0,10,3,10
셀트리온,우상향_20,0,0,10,0,10,0,10
셀트리온,우상향_60,0,0,0,20,20,6,20
셀트리온,합계,20,10,60,40,100,23,100
KB금융,골크_일단,0,10,0,10,10,6,10
KB금융,골크_일중,0,10,0,10,10,6,10
KB금융,골크_일장,0,10,10,0,10,3,10
KB금융,골크_단중,10,10,0,10,10,10,10
KB금융,골크_단장,0,10,10,0,10,3,10
KB금융,골크_중장,0,10,10,0,10,3,10
KB금융,우상향_5,0,10,0,10,10,6,10
KB금융,우상향_20,10,10,0,10,10,10,10
KB금융,우상향_60,0,20,20,0,20,6,20
KB금융,합계,20,100,50,50,100,56,100
NAVER,골크_일단,10,0,0,10,10,6,10
NAVER,골크_일중,10,0,0,10,10,6,10
NAVER,골크_일장,10,10,0,10,0,10,10
NAVER,골크_단중,10,0,0,10,10,6,10
NAVER,골크_단장,10,10,0,10,0,10,10
NAVER,골크_중장,10,10,0,10,0,10,10
NAVER,우상향_5,10,0,0,10,10,6,10
NAVER,우상향_20,10,0,0,10,0,6,10
NAVER,우상향_60,20,20,0,20,0,20,20
NAVER,합계,100,50,0,100,40,83,100
HD현대중공업,골크_일단,0,0,10,0,0,0,10
HD현대중공업,골크_일중,0,0,10,0,0,0,10
HD현대중공업,골크_일장,10,0,10,0,0,3,10
HD현대중공업,골크_단중,0,0,10,0,0,0,10
HD현대중공업,골크_단장,10,0,10,0,0,3,10
HD현대중공업,골크_중장,10,0,10,0,0,3,10
HD현대중공업,우상향_5,0,0,10,0,0,0,10
HD현대중공업,우상향_20,0,0,10,0,0,0,10
HD현대중공업,우상향_60,20,0,20,0,0,6,20
HD현대중공업,합계,50,0,100,0,0,16,100
신한지주,골크_일단,0,10,0,10,10,6,10
신한지주,골크_일중,0,10,0,10,10,6,10
신한지주,골크_일장,0,10,10,0,10,3,10
신한지주,골크_단중,0,10,0,10,10,6,10
신한지주,골크_단장,0,10,10,0,10,3,10
신한지주,골크_중장,0,10,10,0,10,3,10
신한지주,우상향_5,0,10,0,10,10,6,10
신한지주,우상향_20,0,10,0,10,10,6,10
신한지주,우상향_60,0,20,20,0,20,6,20
신한지주,합계,0,100,50,50,100,50,100
현대모비스,골크_일단,10,10,0,10,10,10,10
현대모비스,골크_일중,10,10,0,10,10,10,10
현대모비스,골크_일장,10,10,0,10,0,10,10
현대모비스,골크_단중,10,0,0,10,0,6,10
현대모비스,골크_단장,10,10,0,10,0,10,10
현대모비스,골크_중장,10,10,0,10,0,10,10
현대모비스,우상향_5,10,10,0,10,10,10,10
현대모비스,우상향_20,10,10,0,10,10,10,10
현대모비스,우상향_60,20,20,0,20,0,20,20
현대모비스,합계,100,90,0,100,40,96,100
POSCO홀딩스,골크_일단,10,10,0,10,0,10,10
POSCO홀딩스,골크_일중,10,10,0,10,0,10,10
POSCO홀딩스,골크_일장,10,10,0,10,10,10,10
POSCO홀딩스,골크_단중,10,10,0,10,0,10,10
POSCO홀딩스,골크_단장,10,10,0,10,10,10,10
POSCO홀딩스,골크_중장,0,10,0,10,10,6,10
POSCO홀딩스,우상향_5,0,10,0,10,0,6,10
POSCO홀딩스,우상향_20,10,10,0,10,0,10,10
POSCO홀딩스,우상향_60,0,20,0,20,20,13,20
POSCO홀딩스,합계,60,100,0,100,50,86,100
메리츠금융지주,골크_일단,0,10,0,10,10,6,10
메리츠금융지주,골크_일중,0,10,0,10,0,6,10
메리츠금융지주,골크_일장,0,10,0,10,0,6,10
메리츠금융지주,골크_단중,0,10,0,10,0,6,10
메리츠금융지주,골크_단장,0,10,0,10,0,6,10
메리츠금융지주,골크_중장,0,10,0,10,0,6,10
메리츠금융지주,우상향_5,0,10,10,0,10,3,10
메리츠금융지주,우상향_20,0,10,10,0,0,3,10
메리츠금융지주,우상향_60,0,20,0,20,0,13,20
메리츠금융지주,합계,0,100,20,80,20,60,100
삼성물산,골크_일단,0,0,10,0,10,0,10
삼성물산,골크_일중,0,0,10,0,10,0,10
삼성물산,골크_일장,0,0,10,0,10,0,10
삼성물산,골크_단중,10,0,10,0,10,3,10
